STARTING PORTFOLIO BACKTEST - Initial Capital: Rs. 500000.0
--------------------------------------------------
[2019-01-01] BUY  ACE        | Qty:  529 | Cost: Rs. 49937.60
[2019-01-01] BUY  ATUL       | Qty:   14 | Cost: Rs. 48204.80
[2019-01-01] BUY  AXISBANK   | Qty:   79 | Cost: Rs. 49556.70
[2019-01-01] BUY  BANKBARODA | Qty:  405 | Cost: Rs. 49936.50
[2019-01-01] BUY  BDL        | Qty:  361 | Cost: Rs. 49872.15
[2019-01-02] BUY  APLAPOLLO  | Qty:  413 | Cost: Rs. 49911.05
[2019-01-02] BUY  ASTERDM    | Qty:  312 | Cost: Rs. 49920.00
[2019-01-02] SELL AXISBANK   | Reason: HARD STOP (1%)       | PnL: Rs.  -572.75
[2019-01-02] SELL BANKBARODA | Reason: HARD STOP (1%)       | PnL: Rs. -1599.75
[2019-01-02] BUY  BEML       | Qty:   54 | Cost: Rs. 49836.60
[2019-01-02] BUY  CARBORUNIV | Qty:  138 | Cost: Rs. 49887.00
[2019-01-03] SELL ACE        | Reason: TRAILING STOP        | PnL: Rs.  1560.55
[2019-01-03] SELL APLAPOLLO  | Reason: HARD STOP (1%)       | PnL: Rs. -1115.10
[2019-01-03] BUY  ASAHIINDIA | Qty:  188 | Cost: Rs. 49942.20
[2019-01-03] BUY  ASIANPAINT | Qty:   36 | Cost: Rs. 49978.80
[2019-01-03] SELL ATUL       | Reason: TRAILING STOP        | PnL: Rs.   175.70
[2019-01-03] BUY  BALRAMCHIN | Qty:  464 | Cost: Rs. 49949.60
[2019-01-03] SELL BDL        | Reason: TRAILING STOP        | PnL: Rs.   252.70
[2019-01-03] BUY  BEL        | Qty: 1689 | Cost: Rs. 49994.40
[2019-01-03] SELL BEML       | Reason: HARD STOP (1%)       | PnL: Rs. -1957.50
[2019-01-03] BUY  BRITANNIA  | Qty:   15 | Cost: Rs. 47038.50
[2019-01-03] BUY  CERA       | Qty:   21 | Cost: Rs. 49944.30
[2019-01-04] BUY  AARTIIND   | Qty:  136 | Cost: Rs. 49748.80
[2019-01-04] BUY  AMBER      | Qty:   54 | Cost: Rs. 49593.60
[2019-01-04] SELL ASAHIINDIA | Reason: HARD STOP (1%)       | PnL: Rs.  -601.60
[2019-01-04] SELL ASIANPAINT | Reason: TRAILING STOP        | PnL: Rs.   -88.20
[2019-01-04] BUY  ASTRAL     | Qty:   93 | Cost: Rs. 49582.95
[2019-01-04] BUY  ASTRAZEN   | Qty:   34 | Cost: Rs. 49861.00
[2019-01-04] SELL BRITANNIA  | Reason: TRAILING STOP        | PnL: Rs.  -198.00
[2019-01-07] SELL AMBER      | Reason: TRAILING STOP        | PnL: Rs.  -218.70
[2019-01-07] SELL ASTRAL     | Reason: HARD STOP (1%)       | PnL: Rs. -1650.75
[2019-01-07] SELL BALRAMCHIN | Reason: TRAILING STOP        | PnL: Rs.   162.40
[2019-01-07] BUY  BAYERCROP  | Qty:   11 | Cost: Rs. 46866.05
[2019-01-07] SELL BEL        | Reason: TRAILING STOP        | PnL: Rs.  1435.65
[2019-01-07] BUY  BLS        | Qty: 1661 | Cost: Rs. 49996.10
[2019-01-08] BUY  AAVAS      | Qty:   59 | Cost: Rs. 49675.05
[2019-01-08] BUY  ABBOTINDIA | Qty:    6 | Cost: Rs. 46512.30
[2019-01-08] BUY  ADANIENSOL | Qty:  242 | Cost: Rs. 49839.90
[2019-01-08] SELL ASTERDM    | Reason: TRAILING STOP        | PnL: Rs.   -15.60
[2019-01-08] SELL ASTRAZEN   | Reason: TRAILING STOP        | PnL: Rs.  -243.10
[2019-01-08] BUY  AUROPHARMA | Qty:   66 | Cost: Rs. 49272.30
[2019-01-08] SELL BAYERCROP  | Reason: TRAILING STOP        | PnL: Rs.  -193.05
[2019-01-08] BUY  BIOCON     | Qty:  158 | Cost: Rs. 49698.90
[2019-01-08] SELL BLS        | Reason: TRAILING STOP        | PnL: Rs.  -249.15
[2019-01-08] SELL CARBORUNIV | Reason: TRAILING STOP        | PnL: Rs.   476.10
[2019-01-09] BUY  AJANTPHARM | Qty:   64 | Cost: Rs. 49427.20
[2019-01-09] BUY  ALLCARGO   | Qty: 1831 | Cost: Rs. 49986.30
[2019-01-09] BUY  AXISBANK   | Qty:   74 | Cost: Rs. 49587.40
[2019-01-09] SELL CERA       | Reason: TRAILING STOP        | PnL: Rs.  5192.25
[2019-01-09] BUY  CESC       | Qty:  764 | Cost: Rs. 49965.60
[2019-01-10] SELL AAVAS      | Reason: TRAILING STOP        | PnL: Rs.   -59.00
[2019-01-10] BUY  ARE_M      | Qty:   66 | Cost: Rs. 49836.60
[2019-01-10] SELL AXISBANK   | Reason: HARD STOP (1%)       | PnL: Rs.  -506.90
[2019-01-10] BUY  BAJAJHLDNG | Qty:   16 | Cost: Rs. 47519.20
[2019-01-10] SELL BIOCON     | Reason: TRAILING STOP        | PnL: Rs.   102.70
[2019-01-10] BUY  CENTRALBK  | Qty: 1385 | Cost: Rs. 49998.50
[2019-01-11] SELL ABBOTINDIA | Reason: TRAILING STOP        | PnL: Rs.  1988.40
[2019-01-11] SELL AJANTPHARM | Reason: TRAILING STOP        | PnL: Rs.    54.40
[2019-01-11] SELL ALLCARGO   | Reason: TRAILING STOP        | PnL: Rs.   366.20
[2019-01-11] BUY  AMBER      | Qty:   54 | Cost: Rs. 49844.70
[2019-01-11] SELL AUROPHARMA | Reason: TRAILING STOP        | PnL: Rs.  1537.80
[2019-01-11] BUY  BSOFT      | Qty:  418 | Cost: Rs. 49888.30
